date,team,elo,fifa_rank,fifa_points,confederation,draws_last_10,draws_last_5,goal_diff_last_10,goal_diff_last_5,goals_against_last_10,goals_against_last_5,goals_for_last_10,goals_for_last_5,losses_last_10,losses_last_5,points_last_10,points_last_5,points_per_match_last_10,points_per_match_last_5,wins_last_10,wins_last_5
2026-01-03,Tunisia,1740.0,36.0,1504.86,,4.0,2.0,7.0,4.0,12.0,7.0,19.0,11.0,2.0,1.0,16.0,8.0,1.6,1.6,4.0,2.0
2026-03-31,Turkey,1766.0,26.0,1538.52,,1.0,1.0,9.0,11.0,14.0,4.0,23.0,15.0,2.0,0.0,22.0,13.0,2.2,2.6,7.0,4.0
2025-11-18,Turkmenistan,1220.0,142.0,1065.42,,1.0,1.0,-2.0,3.0,15.0,4.0,13.0,7.0,5.0,1.0,13.0,10.0,1.3,2.0,4.0,3.0
2025-08-16,Turks and Caicos Islands,705.0,206.0,802.81,,4.0,1.0,-13.0,-8.0,19.0,11.0,6.0,3.0,5.0,3.0,7.0,4.0,0.7,0.8,1.0,1.0
2023-11-30,Tuvalu,738.0,,,,1.0,0.0,-51.0,-25.0,60.0,30.0,9.0,5.0,8.0,4.0,4.0,3.0,0.4,0.6,1.0,1.0
2023-07-02,Two Sicilies,,,,,0.0,0.0,-8.0,-8.0,11.0,11.0,3.0,3.0,4.0,4.0,3.0,3.0,0.6,0.6,1.0,1.0
2025-12-30,Uganda,1368.0,90.0,1257.64,,2.0,1.0,-2.0,-6.0,15.0,11.0,13.0,5.0,4.0,3.0,14.0,4.0,1.4,0.8,4.0,1.0
2026-03-26,Ukraine,1850.0,24.0,1548.29,,1.0,1.0,-3.0,1.0,20.0,9.0,17.0,10.0,4.0,1.0,16.0,10.0,1.6,2.0,5.0,3.0
2025-12-15,United Arab Emirates,1529.0,69.0,1377.22,,3.0,2.0,3.0,0.0,12.0,7.0,15.0,7.0,3.0,2.0,15.0,5.0,1.5,1.0,4.0,1.0
2025-07-06,United States,1776.0,18.0,1632.19,CONCACAF,1.0,1.0,4.0,8.0,13.0,4.0,17.0,12.0,4.0,0.0,16.0,13.0,1.6,2.6,5.0,4.0
2026-03-28,United States Virgin Islands,,,,,4.0,1.0,-6.0,0.0,22.0,11.0,16.0,11.0,4.0,2.0,10.0,7.0,1.0,1.4,2.0,2.0
2025-09-09,Uruguay,2007.0,11.0,1701.34,CONMEBOL,4.0,1.0,2.0,2.0,7.0,3.0,9.0,5.0,3.0,2.0,13.0,7.0,1.3,1.4,3.0,2.0
2026-03-30,Uzbekistan,1641.0,60.0,1413.06,,4.0,2.0,9.0,3.0,7.0,5.0,16.0,8.0,1.0,1.0,19.0,8.0,1.9,1.6,5.0,2.0
2025-11-23,Vanuatu,1080.0,162.0,1005.49,,1.0,1.0,-9.0,-1.0,23.0,8.0,14.0,7.0,5.0,2.0,13.0,7.0,1.3,1.4,4.0,2.0
2026-03-30,Venezuela,1755.0,40.0,1488.56,,0.0,0.0,-5.0,-2.0,17.0,10.0,12.0,8.0,6.0,3.0,12.0,6.0,1.2,1.2,4.0,2.0
2025-11-19,Vietnam,1392.0,116.0,1161.38,,0.0,0.0,16.0,5.0,10.0,6.0,26.0,11.0,1.0,1.0,27.0,12.0,2.7,2.4,9.0,4.0
2026-03-26,Wales,1696.0,29.0,1526.53,,1.0,0.0,6.0,1.0,15.0,9.0,21.0,10.0,4.0,3.0,16.0,6.0,1.6,1.2,5.0,2.0
2019-06-09,Western Armenia,,,,,3.0,2.0,8.0,11.0,12.0,4.0,20.0,15.0,3.0,1.0,15.0,8.0,1.5,1.6,4.0,2.0
2025-07-17,Western Isles,,,,,1.0,0.0,-8.0,0.0,17.0,4.0,9.0,4.0,6.0,3.0,10.0,6.0,1.0,1.2,3.0,2.0
2025-11-26,Yemen,1102.0,155.0,1021.24,,2.0,2.0,17.0,17.0,7.0,1.0,24.0,18.0,3.0,0.0,17.0,11.0,1.7,2.2,5.0,3.0
2025-07-17,Ynys Môn,,,,,0.0,0.0,11.0,5.0,11.0,7.0,22.0,12.0,1.0,1.0,27.0,12.0,2.7,2.4,9.0,4.0
2019-06-01,Yorkshire,,,,,1.0,0.0,15.0,15.0,11.0,10.0,26.0,25.0,1.0,1.0,13.0,12.0,2.1666666666666665,2.4,4.0,4.0
2022-05-23,Yoruba Nation,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2025-12-29,Zambia,1490.0,93.0,1252.79,,2.0,2.0,-7.0,-4.0,15.0,8.0,8.0,4.0,5.0,3.0,11.0,2.0,1.1,0.4,3.0,0.0
2025-01-13,Zanzibar,1326.0,,,,2.0,1.0,6.0,2.0,8.0,4.0,14.0,6.0,2.0,1.0,20.0,10.0,2.0,2.0,6.0,3.0
2026-03-28,Zimbabwe,1337.0,124.0,1134.99,,3.0,1.0,-6.0,-3.0,14.0,10.0,8.0,7.0,6.0,3.0,6.0,4.0,0.6,0.8,1.0,1.0
2023-07-13,Åland Islands,,,,,3.0,0.0,-8.0,-4.0,15.0,9.0,7.0,5.0,5.0,3.0,9.0,6.0,0.9,1.2,2.0,2.0
